image_id,image_category,aspect_ratio,camera_make,camera_model,iso,aperture_value,focal_length,exposure_time,total_days,stats_downloads
68105c019b,Featured,1.5,CANON,Canon EOS 60D,200.0,14.0,50.0,0.016666666666666666,2361,167503
06d11c4edd,Featured,0.67,SONY,ILCE-6500,100.0,2.5,30.0,0.0008,1255,1839
f6599edba1,Featured,0.67,NIKON,NIKON D850,64.0,2.8,48.0,0.000625,1138,787
0f4bcc2d36,Featured,1.78,DJI,FC220,139.0,2.2,4.7,0.01,1579,2049
74db502ed5,Featured,1.5,FUJIFILM,X-T10,400.0,6.4,22.2,0.002380952380952381,1050,2982
6fe4f5d191,Featured,1.5,CANON,Canon EOS 6D,100.0,14.0,29.0,13.0,1127,2143
c52f60b513,Featured,0.67,CANON,Canon EOS 5DS,50.0,1.4,50.0,0.0004,1279,476
b259831c25,Featured,0.67,NIKON,NIKON D750,400.0,4.0,120.0,0.002,1080,13316
a13c363cf6,Featured,1.5,NIKON,NIKON D500,160.0,2.2,30.0,0.0005,1222,1751
dd1acd2cdc,Featured,1.5,SONY,ILCE-6300,125.0,8.0,300.0,0.0025,1158,4191
07bbe73944,Featured,0.69,NIKON,NIKON D5300,560.0,5.6,200.0,0.004,1177,1061
a9571cba01,Featured,1.5,FUJIFILM,X-Pro2,800.0,5.6,35.0,0.008,2344,7903
7be037a635,Featured,0.65,GOOGLE,Pixel 2 XL,73.0,1.8,4.5,0.008,1479,2596
914e6790a3,Featured,1.5,CANON,Canon EOS 5D Mark III,100.0,2.8,100.0,0.0025,1718,2225
f76411adbd,Featured,1.33,XIAOMI,Mi-4c,100.0,2.0,4.1,0.0003812428516965307,1288,2749
eeeed96113,Featured,1.5,CANON,Canon EOS 7D Mark II,400.0,22.0,18.0,0.03333333333333333,1480,1539
eb2af91326,Featured,1.5,FUJIFILM,X-T1,400.0,4.5,24.3,0.005555555555555556,1372,1522
ca6403e9fb,Featured,1.5,SONY,SLT-A58,800.0,3.5,18.0,20.0,2352,155084
638084eb93,Featured,0.67,SONY,ILCE-7M3,400.0,11.0,35.0,0.01,1576,47142
1c228e4635,Featured,1.5,CANON,Canon EOS DIGITAL REBEL XS,400.0,2.0,50.0,0.001,1478,913
6714f07611,Featured,1.34,DJI,FC2103,100.0,2.8,4.5,0.01,1234,2123
574e962ec2,Featured,0.67,NIKON,NIKON D610,320.0,2.5,35.0,0.003125,1418,1455
59208f8b8f,Featured,1.5,SONY,ILCE-7M2,80.0,4.0,34.0,0.005,2739,13873
c565ffd08f,Featured,1.5,SONY,ILCE-7RM3,125.0,5.6,72.0,0.001,1480,3507
d3a29e58ce,Featured,1.5,SONY,ILCE-7M3,1000.0,2.8,28.0,0.1,1587,3113
f1a3bc29b9,Featured,0.67,CANON,Canon EOS 6D,200.0,4.0,38.0,0.00025,1527,3806
